Compound.Name,Cnum.u,O_C_ratio.u,OSc.u,cstar.u
1221_0832_blob_19,6,0.666666667,-1,4.580546
1128_1901_blob_34,16,0.125,-2.125,2.442123778
1129_1334_blob_822,6,0.666666667,-0.333333333,4.580546
1128_1901_blob_23,14,0.142857143,-2.142857143,3.295046
1128_1901_blob_774,27,0.037037037,-1.555555556,-2.098396857
1128_1901_blob_648,20,0,-1.6,1.84718
1202_1412_blob_6,17,0.235294118,-0.941176471,0.957198381
1202_1412_blob_5,0,-999,-999,-999
1128_1901_blob_37,17,0.117647059,-1.647058824,2.012246
1128_1901_blob_582,5,0.6,-0.2,3.289246
1202_1412_blob_41,16,0.25,-0.875,1.345946
1129_1334_blob_718,9,0.444444444,-0.444444444,3.811507538
1128_1901_blob_2169,10.43056667,0.472493734,-0.56506743,2.906297248
1206_0924_blob_1747,21.57983333,0.059262856,-0.737716916,-1.037371067
1128_1901_blob_1456,17.2643,0.091180023,-1.470665092,2.196444971
1128_1901_blob_1822,22.5642,0.34208366,-1.106719213,-1.156057283
1128_2052_blob_1518,8.5363,0.404441304,-0.669953904,3.802364398
1216_0703_blob_1171,6.927533333,0.604141109,-0.121282728,3.843082002
1221_2326_blob_947,11.01006667,0.456103524,-0.591930361,3.224451268
1221_0832_blob_25,9.996866667,0.509631411,-0.589383564,3.086861389
1206_0924_blob_1594,20.88596667,0.321186271,-0.409811302,-0.676558634
1128_1901_blob_2166,17.61876667,0.084458121,-1.434117243,1.656577022
1128_1901_blob_1103,11.462,0.386007797,-1.080446005,2.993999828
1202_0046_blob_1078,16.49246667,0.103423557,-1.196621008,1.749563398
1221_0832_blob_1382,13.24006667,0.359604006,-0.511366079,2.392845428
1128_1901_blob_1959,20.3592,0.160064561,-1.720453145,0.881960099
1128_1901_blob_792,7.865166667,0.53307142,-0.525895541,4.049276098
1128_2052_blob_1196,28.2078,0.562028465,-1.417913311,-0.760066826
1206_0924_blob_741,16.23323333,0.542702633,-0.287694542,0.810977041
1128_1901_blob_1385,16.53023333,0.172901909,-1.463487117,2.156880179
1128_1901_blob_1569,9.807333333,0.559005995,-0.481147949,3.107497293
1128_1901_blob_794,9.155133333,0.472761943,-0.572020065,3.61601595
1206_0924_blob_1311,13.66006667,0.538624026,-0.330071321,1.735844097
1202_0046_blob_865,12.56476667,0.118164976,-1.342017532,3.131793279
1206_0924_blob_323,11.40226667,0.548365106,-0.245431563,2.161941774
1128_1901_blob_2042,15.05973333,0.352746018,-1.06629057,1.86862242
1128_2052_blob_1204,6.719833333,0.678970578,-0.042266942,3.900197337
1206_0924_blob_394,10.70076667,0.560755641,-0.123686751,2.540548977
1205_0335_blob_1202,12.12976667,0.550191921,-0.490324935,2.172017236
1221_0832_blob_1340,14.72866667,0.386020663,-0.940748018,2.102452425
1206_0924_blob_71,10.6346,0.567735863,-0.153631777,2.633185262
1206_0924_blob_344,11.5019,0.443488295,-0.768561024,3.038304277
1202_1412_blob_1898,14.88826667,0.347484256,-1.013708657,1.448783473
1128_1901_blob_958,16.34593333,0.176889996,-1.249435501,2.004273131
1128_1901_blob_1050,25.61383333,0.55325427,-1.434263771,-0.236868877
1206_0924_blob_369,13.51466667,0.555728207,-0.0995618,1.926746388
1129_1334_blob_594,12.08143333,0.16029425,-1.176684051,3.17972295
1128_1901_blob_1811,15.1825,0.384610647,-0.923050144,1.891230872
1221_0832_blob_829,10.14886667,0.551760882,-0.647848607,3.27258451
1206_0924_blob_558,23.1301,0.546439406,-0.242614239,-0.319929532
1128_1901_blob_1603,16.79326667,0.211530067,-1.781171888,2.512963294
1206_0924_blob_959,15.01656667,0.44385076,-0.588762467,1.635032637
1128_1901_blob_1872,17.4427,0.377889904,-1.1885207,0.781696533
1202_1412_blob_1860,14.2578,0.459816186,-0.97989713,2.421315329
1128_1901_blob_1110,11.4055,0.116058493,-1.188635764,3.490230745
1213_2145_blob_1291,12.18293333,0.461370098,-0.553454305,2.259748635
1128_1901_blob_1809,10.92446667,0.412845321,-0.847648591,2.978522904
1128_1901_blob_859,9.281366667,0.469341314,-0.602776031,3.634650795
1129_1334_blob_1502,12.33113333,0.455380227,-0.994135959,2.569358822
1128_1901_blob_1180,7.149333333,0.640580695,-0.16506823,3.783729556
1206_0924_blob_865,13.31183333,0.569842033,-0.10968885,1.420808291
1128_1901_blob_811,8.205366667,0.399778741,-0.670595707,4.387007344
1206_0924_blob_915,21.08593333,0.514710723,-0.23186309,-1.155027295
1206_0924_blob_841,20.31133333,0.520088101,-0.357626496,-0.217437887
1128_1901_blob_1848,16.9613,0.17150119,-1.041131103,1.427210635
1221_0832_blob_1401,8.864733333,0.378940202,-1.12347775,4.034760233
1129_1334_blob_1193,7.8069,0.593778772,-0.547597941,3.490230745
1202_1412_blob_1437,15.1497,0.342997391,-1.468952034,2.736051051
1205_0335_blob_798,16.4342,0.164978179,-1.220966205,1.917568526
1128_1901_blob_1144,7.3295,0.598111662,-0.268099334,3.95610187
1202_1412_blob_602,10.13683333,0.162381296,-1.27730177,3.397056521
1128_1901_blob_1516,23.55946667,0.353698082,-1.186563434,-0.351812781
1202_1412_blob_1905,14.7368,0.429508801,-1.090947963,1.577922949
1221_0832_blob_641,11.56793333,0.490987508,-0.740294787,2.725733102
1206_0924_blob_700,20.5777,0.528522175,-0.282529527,-0.092983741
1129_1334_blob_1209,11.48836667,0.582503946,-0.487257541,2.427009311
1221_0832_blob_1486,18.46856667,0.231190172,-1.828394629,2.005654759
1202_0046_blob_2317,13.8467,0.500619157,-0.593777036,1.569789741
1128_1901_blob_1479,8.7041,0.487173863,-0.638228124,4.370296749
1128_1901_blob_1721,16.27943333,0.118470918,-1.419465138,2.761845931
1206_0924_blob_905,15.41783333,0.410669491,-0.345474308,0.913015187
1129_1334_blob_1364,12.59133333,0.284602188,-1.063375505,3.071384465
1128_1901_blob_1706,13.93513333,0.331495557,-1.020818616,2.241661875
